year,state_abbr,state_name,population,violent_crime,"violent crimes per 100,000 people",homicide,"homicides per 100,000 people ",rape_legacy,"rapes legacy per 100,000 people",rape_revised,"rapes revised per 100,000 people",robbery,"robberies per 100,000 people",aggravated_assault,"aggravated assaults per 100,000 people",property_crime,"property crimes per 100,000 people",burglary,"burglaries per 100,000 people",larceny,"larcenies per 100,000 people",motor_vehicle_theft,"motor vehicle theft per 100,000 people",caveats,
1981,DC,District of Columbia,636000,14468,2274.84,223,35.06,414,65.09,,0,10399,1635.06,3432,539.62,53442,8402.83,16832,2646.54,32845,5164.31,3765,591.98,,
1981,DE,Delaware,598000,3044,509.03,40,6.69,170,28.43,,0,844,141.14,1990,332.78,36958,6180.27,9627,1609.87,24759,4140.30,2572,430.10,,
1981,FL,Florida,10166000,98109,965.07,1522,14.97,5707,56.14,,0,35473,348.94,55407,545.02,718470,7067.38,241536,2375.92,431222,4241.81,45712,449.66,,
1981,GA,Georgia,5569000,30527,548.16,960,17.24,2362,42.41,,0,10938,196.41,16267,292.10,282926,5080.37,93121,1672.13,171170,3073.62,18635,334.62,,
1981,HI,Hawaii,979000,2424,247.60,47,4.80,340,34.73,,0,1453,148.42,584,59.65,61636,6295.81,16726,1708.48,40699,4157.20,4211,430.13,,
1981,IA,Iowa,2897000,5915,204.18,76,2.62,389,13.43,,0,1554,53.64,3896,134.48,130723,4512.36,30925,1067.48,93333,3221.71,6465,223.16,,
1981,ID,Idaho,959000,2717,283.32,43,4.48,198,20.65,,0,362,37.75,2114,220.44,40733,4247.45,11255,1173.62,27423,2859.54,2055,214.29,,
1981,IL,Illinois,11455000,90781,792.50,1205,10.52,3716,32.44,,0,42752,373.22,43108,376.32,609767,5323.15,173142,1511.50,366696,3201.19,69929,610.47,,
1981,IN,Indiana,5466000,18672,341.60,388,7.10,1616,29.56,,0,7050,128.98,9618,175.96,229472,4198.17,63887,1168.81,147038,2690.05,18547,339.32,,
1981,KS,Kansas,2381000,8796,369.42,151,6.34,733,30.79,,0,2611,109.66,5301,222.64,119880,5034.86,36768,1544.23,77039,3235.57,6073,255.06,,
1981,KY,Kentucky,3661000,10599,289.51,308,8.41,766,20.92,,0,3687,100.71,5838,159.46,118690,3242.01,38893,1062.36,71194,1944.66,8603,234.99,,
1981,LA,Louisiana,4305000,27478,638.28,673,15.63,1782,41.39,,0,8698,202.04,16325,379.21,199295,4629.38,61756,1434.52,121955,2832.87,15584,362.00,,
1981,MA,Massachusetts,5770000,36273,628.65,210,3.64,1580,27.38,,0,15633,270.94,18850,326.69,300428,5206.72,95080,1647.83,147691,2559.64,57657,999.25,,
1981,MD,Maryland,4261000,37800,887.12,421,9.88,1654,38.82,,0,18085,424.43,17640,413.99,241625,5670.62,70740,1660.17,152405,3576.74,18480,433.70,,
1981,ME,Maine,1132000,2214,195.58,36,3.18,145,12.81,,0,368,32.51,1665,147.08,45820,4047.70,14081,1243.90,29545,2609.98,2194,193.82,,
1981,MI,Michigan,9201000,59058,641.87,861,9.36,4366,47.45,,0,23688,257.45,30143,327.61,571582,6212.17,171331,1862.09,341805,3714.87,58446,635.21,,
1981,MN,Minnesota,4090000,9344,228.46,85,2.08,1056,25.82,,0,4266,104.30,3937,96.26,184387,4508.24,52253,1277.58,121834,2978.83,10300,251.83,,
1981,MO,Missouri,4938000,26675,540.20,516,10.45,1465,29.67,,0,10629,215.25,14065,284.83,237575,4811.16,78173,1583.09,140567,2846.64,18835,381.43,,
1981,MT,Montana,792000,2004,253.03,27,3.41,175,22.10,,0,302,38.13,1500,189.39,37746,4765.91,7651,966.04,27874,3519.44,2221,280.43,,
1981,NC,North Carolina,5951000,25986,436.67,541,9.09,1351,22.70,,0,4809,80.81,19285,324.06,243012,4083.55,79545,1336.67,151679,2548.80,11788,198.08,,
1981,ND,North Dakota,658000,444,67.48,15,2.28,57,8.66,,0,85,12.92,287,43.62,19237,2923.56,3294,500.61,14859,2258.21,1084,164.74,,
1981,NE,Nebraska,1576000,2861,181.54,49,3.11,323,20.49,,0,1115,70.75,1374,87.18,62977,3996.00,14383,912.63,45324,2875.89,3270,207.49,,
1981,NH,New Hampshire,935000,1375,147.06,27,2.89,154,16.47,,0,335,35.83,859,91.87,39034,4174.76,11090,1186.10,25692,2747.81,2252,240.86,,
1981,NJ,New Jersey,7401000,46674,630.64,542,7.32,2374,32.08,,0,24761,334.56,18997,256.68,410693,5549.16,128274,1733.20,231846,3132.63,50573,683.33,,
1981,NM,New Mexico,1327000,8913,671.67,151,11.38,628,47.32,,0,1868,140.77,6266,472.19,73369,5528.94,21405,1613.04,47252,3560.81,4712,355.09,,
1981,NV,Nevada,845000,7575,896.45,148,17.51,548,64.85,,0,3870,457.99,3009,356.09,65027,7695.50,23046,2727.34,36955,4373.37,5026,594.79,,
1981,NY,New York,17594000,188178,1069.56,2166,12.31,5479,31.14,,0,120344,684.01,60189,342.10,1026757,5835.84,350422,1991.71,539486,3066.31,136849,777.82,,
1981,OH,Ohio,10776000,53509,496.56,799,7.41,3339,30.99,,0,25529,236.91,23842,221.25,533498,4950.80,160951,1493.61,326770,3032.39,45777,424.81,,
1981,OK,Oklahoma,3098000,13223,426.82,279,9.01,1091,35.22,,0,3574,115.36,8279,267.24,136637,4410.49,49220,1588.77,74460,2403.49,12957,418.24,,
1981,OR,Oregon,2647000,12671,478.69,117,4.42,1105,41.75,,0,4780,180.58,6669,251.95,173596,6558.22,52067,1967.02,112518,4250.77,9011,340.42,,
1981,PA,Pennsylvania,11864000,44104,371.75,729,6.14,2662,22.44,,0,22137,186.59,18576,156.57,392872,3311.46,122372,1031.46,226701,1910.83,43799,369.18,,
1981,RI,Rhode Island,952000,4205,441.70,40,4.20,170,17.86,,0,1257,132.04,2738,287.61,51504,5410.08,15755,1654.94,27525,2891.28,8224,863.87,,
1981,SC,South Carolina,3166000,20275,640.40,330,10.42,1148,36.26,,0,3805,120.18,14992,473.53,148127,4678.68,50520,1595.70,88887,2807.55,8720,275.43,,
1981,SD,South Dakota,685000,718,104.82,12,1.75,79,11.53,,0,122,17.81,505,73.72,19922,2908.32,4348,634.74,14587,2129.49,987,144.09,,
1981,TN,Tennessee,4610000,19019,412.56,448,9.72,1735,37.64,,0,7916,171.71,8920,193.49,179737,3898.85,63811,1384.19,100526,2180.61,15400,334.06,,
